award_title,award_words,major_keywords,vision_contents,prestige,prestige_score,Big Major Category #1,Big Major Category #2,Big Major Category #3,Big Major Category #4
Broadcam MASTERS,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Broadcom Masters for Middle School Students,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Brower Youth Awards,,No Extra Match,NaN,Very Selective,4,social_sci,,,
Bulletin of the American Mathematical Society,,No Extra Match,NaN,Very Selective,4,math_sci,,,
BYU English Department and the Provo Orem Word,,No Extra Match,NaN,Very Selective,4,humanities,,,
BYU High School business Language Competition,,No Extra Match,NaN,Selective,3,business,,,
BYU Studies Essay Contest,,No Extra Match,NaN,Selective,3,social_sci,,,
Camayak Student Media Competition,,No Extra Match,NaN,Selective,3,social_sci,,,
Canadian Computing Competitions,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
CANE Writing Contest   ,,No Extra Match,NaN,Very Selective,4,humanities,,,
Capital City Young Writers ,,No Extra Match,NaN,Mediocre,2,humanities,,,
Capstone Concept Pitch Competition ,,No Extra Match,NaN,Selective,3,business,,,
Car Design Competitions,,No Extra Match,NaN,Very Selective,4,visualart,,,
Carlton University English Department High School Writing Competition,,No Extra Match,NaN,Very Selective,4,humanities,,,
Carnegie Council for Ethics in International Affairs Student/Teacher Essay Contest ,,No Extra Match,NaN,Very Selective,4,social_sci,,,
CASTIC,China Adolescents Science and Technology Innovation Contest,No Extra Match,NaN,Extremely Selective,5,math_sci,tech_eng,,
